"sg_ue";"nr_candidato";"nm_urna_candidato";"sg_partido";"ds_composicao_coligacao";"ds_situacao";"qt_votos_candidato";"pr_votos_candidato";"cd_eleicao";"sg_abrangencia";"turno";"cd_cargo";"qt_sessoes";"qt_sessoes_t";"qt_sessoes_nt";"qt_sessoes_i";"qt_sessoes_ni";"qt_sessoes_apuradas";"qt_sessoes_nao_apuradas";"qt_eleitores";"qt_eleitores_aptos";"qt_eleitores_nao_aptos";"qt_eleitores_si";"qt_eleitores_sni";"qt_eleitores_compareceram";"qt_abstencoes";"vscv";"qt_votos_nominais";"qt_votos_computados";"qt_votos_brancos";"qt_votos_nulos";"qt_votos_nulos_vn";"qt_votos_nulos_vnt";"qt_votos_vp";"qt_votos_validos";"qt_votos_an";"qt_votos_anulados_sob_judice";"qt_votos_total"
1473;50;"PROFESSOR BASTO VIANA";"PSOL";"PSOL";"Não eleito";280;1,51;426;"MUNICIPAL";1;11;92;92;0;92;0;92;0;26354;26354;0;26354;0;19649;6705;0;18562;18562;199;888;888;0;0;18562;0;0;19649
1490;15;"CARLOS VENÍCIUS";"MDB";"MDB";"Não eleito";1443;16,4;426;"MUNICIPAL";1;11;50;50;0;50;0;50;0;11399;11399;0;11399;0;9228;2171;0;8797;8797;76;355;355;0;0;8797;0;0;9228
1490;11;"CARLA MENDONÇA";"PP";"PP - PP / DEM";"Não eleito";2338;26,58;426;"MUNICIPAL";1;11;50;50;0;50;0;50;0;11399;11399;0;11399;0;9228;2171;0;8797;8797;76;355;355;0;0;8797;0;0;9228
1490;13;"BIRA VASCONCELOS";"PT";"PT - PT / PSB";"Eleito";3815;43,37;426;"MUNICIPAL";1;11;50;50;0;50;0;50;0;11399;11399;0;11399;0;9228;2171;0;8797;8797;76;355;355;0;0;8797;0;0;9228
1490;55;"GESSI CAPELÃO";"PSD";"PSD";"Não eleito";1201;13,65;426;"MUNICIPAL";1;11;50;50;0;50;0;50;0;11399;11399;0;11399;0;9228;2171;0;8797;8797;76;355;355;0;0;8797;0;0;9228
1511;17;"DOUTORA JOANA D&apos;ARC";"PSL";"PSL";"Não eleito";94;1;426;"MUNICIPAL";1;11;47;47;0;47;0;47;0;11964;11964;0;11964;0;9823;2141;0;9411;9411;94;318;318;0;0;9411;0;0;9823
1511;45;"GEDEON BARROS";"PSDB";"PSDB - DEM / PC do B / PSDB / REPUBLICANOS / PL";"Não eleito";2800;29,75;426;"MUNICIPAL";1;11;47;47;0;47;0;47;0;11964;11964;0;11964;0;9823;2141;0;9411;9411;94;318;318;0;0;9411;0;0;9823
1511;55;"CAMILO DA SILVA";"PSD";"PSD - PSD / PDT / PSB";"Eleito";3838;40,78;426;"MUNICIPAL";1;11;47;47;0;47;0;47;0;11964;11964;0;11964;0;9823;2141;0;9411;9411;94;318;318;0;0;9411;0;0;9823
1511;15;"TAVARES";"MDB";"MDB - MDB / PP";"Não eleito";2679;28,47;426;"MUNICIPAL";1;11;47;47;0;47;0;47;0;11964;11964;0;11964;0;9823;2141;0;9411;9411;94;318;318;0;0;9411;0;0;9823
1538;77;"GILSON DA FUNERÁRIA";"SOLIDARIEDADE";"SOLIDARIEDADE";"Não eleito";3993;29,32;426;"MUNICIPAL";1;11;71;71;0;71;0;71;0;17552;17552;0;17552;0;14140;3412;0;13618;13618;209;313;313;0;0;13618;0;0;14140
